Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
DAPE_CHESB	DAPE_CHESB	395	Peptidase_M20	-	207	1.2e-47	167.2	0.0	1	1	3.0e-50	1.5e-47	166.836608886719	0.03	1	207	70	392	70	392	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_RHILO	DAPE_RHILO	397	Peptidase_M20	-	207	8.4e-47	164.4	0.1	1	1	2.1e-49	1.1e-46	164.096282958984	0.08	1	206	70	391	70	392	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_BRUA1	DAPE_BRUA1	395	Peptidase_M20	-	207	1.0e-46	164.1	0.1	1	1	2.5e-49	1.3e-46	163.839218139648	0.13	1	206	70	391	70	392	0.94	Succinyl-diaminopimelate desuccinylase		0
DAPE_BRUA2	DAPE_BRUA2	395	Peptidase_M20	-	207	1.0e-46	164.1	0.1	1	1	2.5e-49	1.3e-46	163.839218139648	0.13	1	206	70	391	70	392	0.94	Succinyl-diaminopimelate desuccinylase		0
DAPE_BRUAB	DAPE_BRUAB	395	Peptidase_M20	-	207	1.0e-46	164.1	0.1	1	1	2.5e-49	1.3e-46	163.839218139648	0.13	1	206	70	391	70	392	0.94	Succinyl-diaminopimelate desuccinylase		0
DAPE_BRUME	DAPE_BRUME	395	Peptidase_M20	-	207	2.2e-46	163.1	0.1	1	1	5.2e-49	2.7e-46	162.789154052734	0.12	1	206	70	391	70	392	0.94	Succinyl-diaminopimelate desuccinylase		0
DAPE_BRUMB	DAPE_BRUMB	395	Peptidase_M20	-	207	2.2e-46	163.1	0.1	1	1	5.2e-49	2.7e-46	162.779571533203	0.13	1	206	70	391	70	392	0.94	Succinyl-diaminopimelate desuccinylase		0
DAPE_BRUO2	DAPE_BRUO2	395	Peptidase_M20	-	207	2.2e-46	163.1	0.1	1	1	5.2e-49	2.7e-46	162.779571533203	0.13	1	206	70	391	70	392	0.94	Succinyl-diaminopimelate desuccinylase		0
DAPE_BRUSI	DAPE_BRUSI	395	Peptidase_M20	-	207	2.2e-46	163.1	0.1	1	1	5.2e-49	2.7e-46	162.779571533203	0.13	1	206	70	391	70	392	0.94	Succinyl-diaminopimelate desuccinylase		0
DAPE_BRUC2	DAPE_BRUC2	395	Peptidase_M20	-	207	2.2e-46	163.1	0.1	1	1	5.2e-49	2.7e-46	162.779571533203	0.13	1	206	70	391	70	392	0.94	Succinyl-diaminopimelate desuccinylase		0
