Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
CBPG_PSES6	CBPG_PSES6	415	P06621_refseq_selected_blast_msa	-	368	5.9e-144	484.4	1.6	1	1	1.3e-146	6.8e-144	484.186737060547	1.59	2	368	44	411	43	411	1.00	Carboxypeptidase G2	7m6u_D	0
YQJE_BACSU	YQJE_BACSU	371	P06621_refseq_selected_blast_msa	-	368	4.9e-68	234.6	9.3	1	1	1.0e-70	5.5e-68	234.428329467773	9.26	2	366	8	367	7	369	0.91	Uncharacterized protein YqjE		0
DAPE2_SHELP	DAPE2_SHELP	377	P06621_refseq_selected_blast_msa	-	368	7.7e-46	161.5	0.0	1	1	1.7e-48	9.3e-46	161.278686523438	0.00	9	366	8	373	2	375	0.87	Succinyl-diaminopimelate desuccinylase 2		0
DAPE_DECAR	DAPE_DECAR	377	P06621_refseq_selected_blast_msa	-	368	9.0e-46	161.3	0.0	1	1	1.9e-48	1.0e-45	161.15055847168	0.00	2	367	6	373	5	374	0.87	Succinyl-diaminopimelate desuccinylase		0
DAPE_ALKEH	DAPE_ALKEH	375	P06621_refseq_selected_blast_msa	-	368	1.4e-45	160.7	0.0	1	1	2.9e-48	1.6e-45	160.521377563477	0.04	10	364	13	369	4	373	0.83	Succinyl-diaminopimelate desuccinylase		0
DAPE_STRM5	DAPE_STRM5	375	P06621_refseq_selected_blast_msa	-	368	4.7e-45	159.0	0.0	1	1	9.8e-48	5.3e-45	158.78190612793	0.03	3	367	6	372	4	373	0.86	Succinyl-diaminopimelate desuccinylase		0
DAPE_MAGSA	DAPE_MAGSA	379	P06621_refseq_selected_blast_msa	-	368	8.3e-45	158.2	0.0	1	1	1.8e-47	9.6e-45	157.941497802734	0.02	6	368	11	375	7	375	0.85	Succinyl-diaminopimelate desuccinylase		0
DAPE_TERTT	DAPE_TERTT	375	P06621_refseq_selected_blast_msa	-	368	5.0e-44	155.6	0.0	1	1	1.0e-46	5.6e-44	155.413803100586	0.04	7	367	10	372	4	373	0.83	Succinyl-diaminopimelate desuccinylase		0
ARGE_PROMH	ARGE_PROMH	387	P06621_refseq_selected_blast_msa	-	368	5.8e-44	155.4	0.0	1	1	2.6e-46	1.4e-43	154.100006103516	0.00	3	366	10	378	8	380	0.80	Acetylornithine deacetylase		0
DAPE_ALCBS	DAPE_ALCBS	377	P06621_refseq_selected_blast_msa	-	368	3.0e-43	153.0	0.0	1	1	6.2e-46	3.4e-43	152.863388061523	0.03	5	368	8	373	4	373	0.84	Succinyl-diaminopimelate desuccinylase		0
ARGE_ECO5E	ARGE_ECO5E	383	P06621_refseq_selected_blast_msa	-	368	7.0e-43	151.8	0.0	1	1	2.2e-45	1.2e-42	151.076644897461	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
ARGE_ECO57	ARGE_ECO57	383	P06621_refseq_selected_blast_msa	-	368	7.0e-43	151.8	0.0	1	1	2.2e-45	1.2e-42	151.076644897461	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
ARGE_SHIBS	ARGE_SHIBS	383	P06621_refseq_selected_blast_msa	-	368	8.1e-43	151.6	0.0	1	1	2.5e-45	1.3e-42	150.875762939453	0.00	5	366	12	378	8	380	0.85	Acetylornithine deacetylase		0
DAPE_MARMS	DAPE_MARMS	377	P06621_refseq_selected_blast_msa	-	368	1.2e-42	151.1	0.0	1	1	2.5e-45	1.3e-42	150.889984130859	0.00	8	367	11	372	4	373	0.84	Succinyl-diaminopimelate desuccinylase		0
ARGE_ECOSM	ARGE_ECOSM	383	P06621_refseq_selected_blast_msa	-	368	1.2e-42	151.0	0.0	1	1	3.7e-45	2.0e-42	150.305358886719	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
ARGE_ECO55	ARGE_ECO55	383	P06621_refseq_selected_blast_msa	-	368	1.2e-42	151.0	0.0	1	1	3.8e-45	2.1e-42	150.253494262695	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
ARGE_ECOBW	ARGE_ECOBW	383	P06621_refseq_selected_blast_msa	-	368	1.2e-42	151.0	0.0	1	1	3.8e-45	2.1e-42	150.253494262695	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
ARGE_ECODH	ARGE_ECODH	383	P06621_refseq_selected_blast_msa	-	368	1.2e-42	151.0	0.0	1	1	3.8e-45	2.1e-42	150.253494262695	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
ARGE_ECOLI	ARGE_ECOLI	383	P06621_refseq_selected_blast_msa	-	368	1.2e-42	151.0	0.0	1	1	3.8e-45	2.1e-42	150.253494262695	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
ARGE_ECOLC	ARGE_ECOLC	383	P06621_refseq_selected_blast_msa	-	368	1.2e-42	151.0	0.0	1	1	3.8e-45	2.1e-42	150.253494262695	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
DAPE_MARHV	DAPE_MARHV	376	P06621_refseq_selected_blast_msa	-	368	1.3e-42	151.0	0.0	1	1	2.6e-45	1.4e-42	150.798248291016	0.01	2	358	7	364	6	374	0.88	Succinyl-diaminopimelate desuccinylase		0
ARGE_SHIDS	ARGE_SHIDS	383	P06621_refseq_selected_blast_msa	-	368	1.3e-42	150.9	0.0	1	1	4.0e-45	2.2e-42	150.180358886719	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
DAPE_ACIF5	DAPE_ACIF5	382	P06621_refseq_selected_blast_msa	-	368	1.4e-42	150.8	0.0	1	1	3.0e-45	1.6e-42	150.607513427734	0.01	2	366	7	373	6	375	0.88	Succinyl-diaminopimelate desuccinylase		0
DAPE_ACIF2	DAPE_ACIF2	382	P06621_refseq_selected_blast_msa	-	368	1.4e-42	150.8	0.0	1	1	3.0e-45	1.6e-42	150.607513427734	0.01	2	366	7	373	6	375	0.88	Succinyl-diaminopimelate desuccinylase		0
ARGE_ECO7I	ARGE_ECO7I	383	P06621_refseq_selected_blast_msa	-	368	1.6e-42	150.6	0.0	1	1	5.1e-45	2.8e-42	149.855316162109	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
ARGE_ECO24	ARGE_ECO24	383	P06621_refseq_selected_blast_msa	-	368	2.0e-42	150.3	0.0	1	1	6.1e-45	3.3e-42	149.59162902832	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
ARGE_ECOSE	ARGE_ECOSE	383	P06621_refseq_selected_blast_msa	-	368	2.0e-42	150.3	0.0	1	1	6.3e-45	3.4e-42	149.544967651367	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
ARGE_ECO8A	ARGE_ECO8A	383	P06621_refseq_selected_blast_msa	-	368	2.0e-42	150.3	0.0	1	1	6.3e-45	3.4e-42	149.544967651367	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
ARGE_ECOLU	ARGE_ECOLU	383	P06621_refseq_selected_blast_msa	-	368	2.1e-42	150.2	0.0	1	1	6.7e-45	3.6e-42	149.465896606445	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
DAPE_STRMK	DAPE_STRMK	375	P06621_refseq_selected_blast_msa	-	368	2.5e-42	150.0	0.0	1	1	5.2e-45	2.8e-42	149.811233520508	0.01	3	367	6	372	4	373	0.87	Succinyl-diaminopimelate desuccinylase		0
ARGE_ECOHS	ARGE_ECOHS	383	P06621_refseq_selected_blast_msa	-	368	2.6e-42	149.9	0.0	1	1	8.0e-45	4.3e-42	149.208984375	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
ARGE_SHIFL	ARGE_SHIFL	383	P06621_refseq_selected_blast_msa	-	368	2.7e-42	149.9	0.0	1	1	8.2e-45	4.4e-42	149.171569824219	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
ARGE_SHIF8	ARGE_SHIF8	383	P06621_refseq_selected_blast_msa	-	368	2.8e-42	149.8	0.0	1	1	8.6e-45	4.7e-42	149.106719970703	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
ARGE_SHIB3	ARGE_SHIB3	383	P06621_refseq_selected_blast_msa	-	368	2.8e-42	149.8	0.0	1	1	8.6e-45	4.7e-42	149.094573974609	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
ARGE_ECO27	ARGE_ECO27	383	P06621_refseq_selected_blast_msa	-	368	3.0e-42	149.7	0.0	1	1	9.4e-45	5.1e-42	148.970962524414	0.00	5	366	12	378	8	380	0.85	Acetylornithine deacetylase		0
ARGE_ECO81	ARGE_ECO81	383	P06621_refseq_selected_blast_msa	-	368	3.2e-42	149.6	0.0	1	1	9.9e-45	5.4e-42	148.905059814453	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
ARGE_ECOL6	ARGE_ECOL6	383	P06621_refseq_selected_blast_msa	-	368	3.2e-42	149.6	0.0	1	1	9.9e-45	5.4e-42	148.905059814453	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
ARGE_ECO45	ARGE_ECO45	383	P06621_refseq_selected_blast_msa	-	368	3.2e-42	149.6	0.0	1	1	9.9e-45	5.4e-42	148.905059814453	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
ARGE_ECOL5	ARGE_ECOL5	383	P06621_refseq_selected_blast_msa	-	368	3.2e-42	149.6	0.0	1	1	9.9e-45	5.4e-42	148.905059814453	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
DAPE_HALHL	DAPE_HALHL	378	P06621_refseq_selected_blast_msa	-	368	3.3e-42	149.6	2.1	1	1	6.8e-45	3.7e-42	149.429000854492	2.12	2	356	5	361	4	373	0.87	Succinyl-diaminopimelate desuccinylase		0
ARGE_EDWI9	ARGE_EDWI9	383	P06621_refseq_selected_blast_msa	-	368	3.7e-42	149.4	0.0	1	1	1.5e-44	7.9e-42	148.350677490234	0.00	3	366	10	378	8	380	0.85	Acetylornithine deacetylase		0
DAPE_XANOP	DAPE_XANOP	376	P06621_refseq_selected_blast_msa	-	368	4.1e-42	149.3	0.1	1	1	8.5e-45	4.6e-42	149.120712280273	0.05	7	368	10	373	4	373	0.86	Succinyl-diaminopimelate desuccinylase		0
DAPE_CHRSD	DAPE_CHRSD	386	P06621_refseq_selected_blast_msa	-	368	5.7e-42	148.8	0.2	1	1	1.2e-44	6.5e-42	148.633697509766	0.23	8	368	21	384	14	384	0.85	Succinyl-diaminopimelate desuccinylase		0
ARGE_SHISS	ARGE_SHISS	383	P06621_refseq_selected_blast_msa	-	368	8.4e-42	148.3	0.0	1	1	2.6e-44	1.4e-41	147.524795532227	0.00	5	366	12	378	8	380	0.84	Acetylornithine deacetylase		0
DAPE_DELAS	DAPE_DELAS	386	P06621_refseq_selected_blast_msa	-	368	8.6e-42	148.2	0.0	1	1	1.8e-44	9.8e-42	148.042694091797	0.00	2	366	5	378	4	380	0.83	Succinyl-diaminopimelate desuccinylase		0
DAPE_XANOR	DAPE_XANOR	376	P06621_refseq_selected_blast_msa	-	368	9.6e-42	148.1	0.1	1	1	2.0e-44	1.1e-41	147.886657714844	0.05	7	368	10	373	4	373	0.86	Succinyl-diaminopimelate desuccinylase		0
DAPE_XANOM	DAPE_XANOM	376	P06621_refseq_selected_blast_msa	-	368	9.6e-42	148.1	0.1	1	1	2.0e-44	1.1e-41	147.886657714844	0.05	7	368	10	373	4	373	0.86	Succinyl-diaminopimelate desuccinylase		0
DAPE_AGRVS	DAPE_AGRVS	404	P06621_refseq_selected_blast_msa	-	368	1.5e-41	147.5	0.0	1	1	8.3e-44	4.5e-41	145.855133056641	0.05	3	356	15	386	14	396	0.78	Succinyl-diaminopimelate desuccinylase		0
YJ75_SCHPO	YJ75_SCHPO	400	P06621_refseq_selected_blast_msa	-	368	1.7e-41	147.3	0.0	1	1	4.4e-44	2.4e-41	146.77571105957	0.00	3	267	63	318	61	331	0.90	Peptidase M20 domain-containing protein C757.05c		0
DAPE_NITMU	DAPE_NITMU	378	P06621_refseq_selected_blast_msa	-	368	1.8e-41	147.1	0.0	1	1	3.9e-44	2.1e-41	146.930740356445	0.00	8	356	12	362	5	374	0.83	Succinyl-diaminopimelate desuccinylase		0
DAPE_MAGMM	DAPE_MAGMM	380	P06621_refseq_selected_blast_msa	-	368	2.2e-41	146.9	0.2	1	1	4.8e-44	2.6e-41	146.628936767578	0.18	6	368	9	375	5	375	0.84	Succinyl-diaminopimelate desuccinylase		0
DAPE_SACD2	DAPE_SACD2	382	P06621_refseq_selected_blast_msa	-	368	2.2e-41	146.9	0.0	1	1	5.1e-44	2.8e-41	146.55158996582	0.02	10	366	20	378	12	380	0.82	Succinyl-diaminopimelate desuccinylase		0
DAPE_ACIAD	DAPE_ACIAD	377	P06621_refseq_selected_blast_msa	-	368	2.4e-41	146.7	0.3	1	1	5.5e-44	3.0e-41	146.445785522461	0.25	24	367	26	374	13	375	0.83	Succinyl-diaminopimelate desuccinylase		0
DAPE_BURM1	DAPE_BURM1	379	P06621_refseq_selected_blast_msa	-	368	2.5e-41	146.7	0.1	1	1	5.3e-44	2.9e-41	146.502059936523	0.07	2	366	5	375	4	377	0.84	Succinyl-diaminopimelate desuccinylase		0
ARGE_ERWT9	ARGE_ERWT9	383	P06621_refseq_selected_blast_msa	-	368	2.6e-41	146.7	0.0	1	1	8.1e-44	4.4e-41	145.886840820312	0.00	6	366	13	378	8	380	0.83	Acetylornithine deacetylase		0
ARGE_ESCF3	ARGE_ESCF3	383	P06621_refseq_selected_blast_msa	-	368	2.8e-41	146.6	0.0	1	1	8.5e-44	4.6e-41	145.832382202148	0.00	5	366	12	378	8	380	0.85	Acetylornithine deacetylase		0
DAPE_LARHH	DAPE_LARHH	376	P06621_refseq_selected_blast_msa	-	368	2.8e-41	146.5	0.0	1	1	5.9e-44	3.2e-41	146.347915649414	0.04	3	365	6	370	4	373	0.86	Succinyl-diaminopimelate desuccinylase		0
DAPE_GLUDA	DAPE_GLUDA	385	P06621_refseq_selected_blast_msa	-	368	2.8e-41	146.5	0.0	1	1	6.0e-44	3.3e-41	146.320037841797	0.03	5	368	16	383	12	383	0.84	Succinyl-diaminopimelate desuccinylase		0
ARGE_KLEP3	ARGE_KLEP3	383	P06621_refseq_selected_blast_msa	-	368	3.1e-41	146.4	0.0	1	1	9.8e-44	5.3e-41	145.617233276367	0.00	5	366	12	378	8	380	0.83	Acetylornithine deacetylase		0
DAPE_VIBCB	DAPE_VIBCB	378	P06621_refseq_selected_blast_msa	-	368	3.5e-41	146.2	0.0	1	1	7.5e-44	4.1e-41	146.007843017578	0.04	2	366	7	373	6	375	0.85	Succinyl-diaminopimelate desuccinylase		0
DAPE_SERP5	DAPE_SERP5	375	P06621_refseq_selected_blast_msa	-	368	3.6e-41	146.2	0.1	1	1	7.6e-44	4.2e-41	145.978363037109	0.08	2	365	6	370	5	373	0.81	Succinyl-diaminopimelate desuccinylase		0
ARGE_ENT38	ARGE_ENT38	383	P06621_refseq_selected_blast_msa	-	368	4.0e-41	146.0	0.0	1	1	1.3e-43	7.1e-41	145.221832275391	0.00	5	366	12	378	8	380	0.83	Acetylornithine deacetylase		0
DAPE_XANCB	DAPE_XANCB	376	P06621_refseq_selected_blast_msa	-	368	4.4e-41	145.9	0.1	1	1	9.1e-44	5.0e-41	145.722442626953	0.08	8	368	12	374	5	374	0.85	Succinyl-diaminopimelate desuccinylase		0
DAPE_BORPA	DAPE_BORPA	379	P06621_refseq_selected_blast_msa	-	368	4.9e-41	145.8	0.0	1	1	1.0e-43	5.5e-41	145.58854675293	0.00	3	365	8	372	6	375	0.81	Succinyl-diaminopimelate desuccinylase		0
DAPE_PARPJ	DAPE_PARPJ	379	P06621_refseq_selected_blast_msa	-	368	4.9e-41	145.8	0.2	1	1	1.0e-43	5.6e-41	145.557235717773	0.23	2	367	5	376	4	377	0.85	Succinyl-diaminopimelate desuccinylase		0
DAPE_PARXL	DAPE_PARXL	379	P06621_refseq_selected_blast_msa	-	368	5.2e-41	145.6	0.5	1	1	1.1e-43	6.0e-41	145.450119018555	0.51	2	367	5	376	4	377	0.85	Succinyl-diaminopimelate desuccinylase		0
DAPE_VIBPA	DAPE_VIBPA	378	P06621_refseq_selected_blast_msa	-	368	5.4e-41	145.6	0.0	1	1	1.2e-43	6.3e-41	145.377563476562	0.05	2	366	7	373	6	375	0.85	Succinyl-diaminopimelate desuccinylase		0
DAPE_LEPCP	DAPE_LEPCP	382	P06621_refseq_selected_blast_msa	-	368	6.0e-41	145.5	0.2	1	1	1.4e-43	7.4e-41	145.144470214844	0.16	2	356	6	368	5	379	0.82	Succinyl-diaminopimelate desuccinylase		0
ARGE_MORAB	ARGE_MORAB	382	P06621_refseq_selected_blast_msa	-	368	6.6e-41	145.3	0.0	1	1	2.2e-43	1.2e-40	144.457046508789	0.00	23	367	32	378	8	379	0.82	Acetylornithine deacetylase		0
DAPE_NITOC	DAPE_NITOC	376	P06621_refseq_selected_blast_msa	-	368	7.2e-41	145.2	0.0	1	1	1.5e-43	8.3e-41	144.989273071289	0.00	2	360	5	365	4	373	0.84	Succinyl-diaminopimelate desuccinylase		0
DAPE_HYDCU	DAPE_HYDCU	378	P06621_refseq_selected_blast_msa	-	368	8.3e-41	145.0	0.0	1	1	1.8e-43	9.7e-41	144.772766113281	0.00	2	365	5	372	4	375	0.83	Succinyl-diaminopimelate desuccinylase		0
DAPE_CHRVO	DAPE_CHRVO	377	P06621_refseq_selected_blast_msa	-	368	8.4e-41	145.0	0.0	1	1	1.8e-43	9.6e-41	144.776794433594	0.00	2	365	5	370	4	373	0.85	Succinyl-diaminopimelate desuccinylase		0
DAPE_XANAC	DAPE_XANAC	376	P06621_refseq_selected_blast_msa	-	368	9.0e-41	144.9	0.0	1	1	1.9e-43	1.0e-40	144.681137084961	0.04	8	368	11	373	4	373	0.86	Succinyl-diaminopimelate desuccinylase		0
ARGE_SALAR	ARGE_SALAR	383	P06621_refseq_selected_blast_msa	-	368	1.0e-40	144.7	0.0	1	1	3.3e-43	1.8e-40	143.902221679688	0.00	6	366	13	378	8	380	0.82	Acetylornithine deacetylase		0
DAPE_ECOL5	DAPE_ECOL5	375	P06621_refseq_selected_blast_msa	-	368	1.0e-40	144.7	0.0	1	1	2.1e-43	1.1e-40	144.530822753906	0.02	2	366	6	371	5	373	0.80	Succinyl-diaminopimelate desuccinylase		0
